City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
405,cidreira,-30.1811,-50.2056,287.89,83,53,6.35,BR
406,laascaanood,8.4774,47.3597,293.84,74,45,13.45,SO
407,qarqaraly,49.4058,75.4742,298.69,36,100,6.97,KZ
408,port huron,42.9709,-82.4249,294.83,97,100,2.06,US
409,fort st. john,56.2499,-120.8529,288.09,94,100,4.12,CA
410,kedougou,12.5579,-12.1743,297.06,95,78,1.07,SN
411,chegdomyn,51.1167,133.0167,300.1,52,29,1.64,RU
412,berdigestyakh,62.0989,126.6992,296.7,44,100,1.56,RU
413,paros,37.0833,25.15,301.55,74,0,3.6,GR
414,puerto lempira,15.2667,-83.7667,299.63,81,87,2.99,HN
415,nadym,65.5333,72.5167,295.45,63,14,3.13,RU
416,eydhafushi,5.1033,73.0708,301.24,72,99,0.49,MV
417,batang,-6.4846,110.7083,302.18,50,83,0.08,ID
